Catabrosa aquatica	368338	species
Milium	368340	genus
Bistorta vivipara	371026	species
Euphrasia stricta	374709	species
Koenigia islandica	374741	species
Milium effusum	376129	species
Geranium sylvaticum	379956	species
Draba arctogena	381144	species
Draba oxycarpa	381173	species
Avenula	388696	genus
Avenella	391960	genus
Comarum	395100	genus
Beckwithia	395282	genus
Calamagrostis neglecta	395286	species
Eriophorum scheuchzeri	395292	species
Pyrola grandiflora	395309	species
Sagina nivalis	395312	species
Salix arctica	395313	species
Stellaria crassifolia	395325	species
Thalictrum alpinum	395328	species
Stuckenia filiformis	397089	species
Botrychium boreale	401572	species
Triglochin palustris	403040	species
Platanthera hyperborea	413038	species
Salix alaxensis	426348	species
Carex mackenziei	432996	species
Myriophyllum alterniflorum	434553	species
Corallorhiza trifida	451881	species
Diphasiastrum	455304	genus
Galeopsis	457137	genus
Persicaria maculosa	457184	species
Galium verum	462873	species
Viola palustris	462882	species
Allium oleraceum	467612	species
Salix phylicifolia	470269	species
Urtica urens	473050	species
Alchemilla faeroensis	478306	species
Danthonia decumbens	500232	species
Carex caryophyllea	502401	species
Viola canina	502511	species
Viola	509528	genus
Carex glareosa	513295	species
Myosotis scorpioides	519065	species
Lepidotheca	520359	genus
Linum catharticum	524254	species
Mimulus	553005	genus
Ranunculus auricomus	568533	species
Omalotheca norvegica	595332	species
Luzula confusa	630096	species
Luzula pallescens	630110	species
Batrachium	633652	genus
Minuartia rubella	645205	species
Carex lyngbyei	657479	species
Carex subspathacea	657491	species
Subularia	664070	genus
Subularia aquatica	664071	species
Potentilla crantzii	667241	species
Alchemilla glomerulans	669616	species
Antennaria alpina	669621	species
Batrachium eradicatum	669637	species
Carex krausei	669646	species
Cochlearia groenlandica	669661	species
Eleocharis uniglumis	669671	species
Epilobium alsinifolium	669676	species
Epilobium anagallidifolium	669677	species
Epilobium hornemannii	669680	species
Epilobium lactiflorum	669681	species
Epilobium palustre	669682	species
Galium trifidum	669698	species
Gentianopsis detonsa	669700	species
Hippuris tetraphylla	669706	species
Juncus ranarius	669712	species
Listera cordata	669720	species
Mertensia maritima	669721	species
Minuartia stricta	669726	species
Oxycoccus microcarpus	669730	species
Pedicularis flammea	669766	species
Phleum alpinum	669775	species
Puccinellia capillaris	669792	species
Sagina caespitosa	669802	species
Sagina saginoides	669803	species
Sedum villosum	669833	species
Sparganium angustifolium	669838	species
Sparganium hyperboreum	669839	species
Sparganium natans	669840	species
Stellaria borealis	669842	species
