Phippsia algida
Festuca rubra
Festuca vivipara
Schedonorus pratensis
Glyceria fluitans
Nardus stricta
Bromopsis inermis
Elymus alopex
Elymus kronokensis
Elytrigia repens
Leymus arenarius
Vulpes lagopus
Ursus maritimus
Rangifer tarandus
Mustela vison
Apodemus sylvaticus
Mus musculus
Rattus norvegicus
Rattus rattus
Halichoerus grypus
Phoca vitulina
Pusa hispida
Pagophilus groenlandicus
Cystophora cristata
Erignathus barbatu
Odobenus rosmarus
Equus
Bos
Ovis
Capra
